address,district,city,price_eur,debt_free_price_eur,housing_company_loan_eur,room_count,size_sqm,floor,year_built,property_type,pipe_renovation_done,pipe_renovation_year,pipe_renovation_info,is_rented_out,monthly_cost_eur,hoitovastike_eur_month,tonttivuokra_eur_month,score,rank,nearest_stop,distance_m,lat,lon,_search_pass,listing_url
"Malminkatu 32 F, Kamppi, Helsinki",Kamppi,helsinki,155631.85,164800.0,9168.15,1,19.4,4/4,1932,kerrostalo,True,2011,"unnoksi, ensiasunnoksi tai kaupunkikodiksi!
*Sijoittajalle tiedoksi: Pääomavastikkeet tuloutetaan ja ne voidaan vähentää vuokratulosta!
*Oma tontti.
*Putkiremontti (käyttövesiputket ja viemärit uusittu) v. 2011-2013.
*Kylpyhuoneet saneerattu putkiremontin yhteydessä v. 2011-2013.
*Ikkunat uusittu 2010.
*Hyvä var",True,827.08,145.5,,74,2,,,60.167677,24.92906,pipe_reno_2011,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24344972
"Korsholmantie 8 C, Puotinharju, Helsinki",Puotinharju,helsinki,122839.35,149000.0,26160.65,2,53.0,3/3,1964,kerrostalo,True,2020,"2020 Asuntojen, autotallien sekä yleisten tilojen lukkojen uusinta
2020 Tuuletusparvekkeiden kuntotutkimus
2019 Ulko-ovien lukkojen vaihto(4kpl)
2018 Linjasaneeraus (KVR)
2017 Linjasaneerauksen kilpailutus
2016 Linjasaneerauksen hankesuunnittelu
2014 Vesikaton ja ulkoseinien huoltomaalaus ja -kunnostus
2013 Ulko-",True,919.69,318.0,,64,17,,,60.213609,25.084181,pipe_reno_2020,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24288424
"Saimaankatu 3 A, Alppila, Helsinki",Alppila,helsinki,179000.0,179000.0,,1,33.0,2/4,1941,kerrostalo,True,2009,"utostyöilmoitusta, mutta kylpyhuone on mahdollisesti remontoitu muun huoneiston remontin yhteydessä v. 2009.
Piharemontti
2012
Julkisivuremontti
2010
Putkiremontti
1992
Tulevat remontit
Taloyhtiöllä on hallituksen vahvistama viiden vuoden korjaussuunnitelma 2026-2030, jossa mainitaan lämmitysverkoston tasapainot",True,1050.38,297.0,,61,31,,,60.194718,24.93779,pipe_reno_2009,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/23835479
"Loviisankatu 3 A, Alppila, Helsinki",Alppila,helsinki,195000.0,195000.0,,1,39.0,4/4,1928,kerrostalo,True,2001,"t ja ovet
2001 tuuletusparvekkeiden ikkunat ja ovet
1996 katujulkisivun kunnostus
1990 porraskäytävät maalattu
1989 sähkösaneeraus ja telejohdot
1988 putkisaneeraus
1987 pihan vesieristys
1984 peltikatto uusittu
Asumistyyppi
Omistus
Vuokrattu
Kyllä
Kohde on
Osakehuoneisto
Postitoimipaikka
Helsinki
Hinta
Velaton h",True,1126.78,292.5,,58,54,,,60.191781,24.940852,pipe_reno_2001,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24424454
"Viipurinkatu 16 A, Alppila, Helsinki",Alppila,helsinki,149000.0,149000.0,,2,42.0,2/4,1927,kerrostalo,True,2026,": Kaakeli.
LATTIAT: Laatta.
Tulevat remontit
2026: Linjasaneerauksen toteutussuunnittelu ja kilpailutus, kattoturvatuotteiden parantaminen
2026-2027: Linjasaneeraus
2026-2027: Porraskäytävien kunnostus
2026-2027: Kellari- ja vinttitilojen kunnostus
2028: Ikkunoiden kunnostustarpeen selvitys
2029: Sisäänkäyntiovie",True,870.49,268.8,,58,56,,,60.192722,24.935349,candidate_check_pipe_reno,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24434407
"Priki Johannan kuja 3 A, Sompasaari, Helsinki",Sompasaari,helsinki,116276.0,189900.0,73624.0,1,22.0,6/12,2019,kerrostalo,False,,,True,1077.77,136.4,132.88,57,58,,,60.180484,24.977722,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24671509
"Kirstinkatu 4 D, Kallio, Helsinki",Kallio,helsinki,122568.92,150000.0,27431.08,1,23.0,3/6,1907,kerrostalo,True,2025,"uokratuottoja, mikä tukee yhtiön taloutta. Asuinrakennuksessa on tehty laajoja remontteja, mm. 2025 vesikatto, 2024 hissien jälkiasennus ja 2017–2018 linjasaneeraus (putkiremontti). Taloyhtiöstä löytyy myös tyylikkäästi saneerattu sauna sekä pesutupa.

Taloyhtiössä on tiedossa julkisivuihin liittyvä hanke, jonka",True,733.25,126.5,,55,74,,,60.186337,24.946808,pipe_reno_2025,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24685194
"Pakkamestarinkatu 1 D, Itä-Pasila, Helsinki",Itä-Pasila,helsinki,71285.19,88000.0,16714.81,1,31.0,3/7,1975,kerrostalo,False,,,True,466.86,173.6,,52,115,,,60.198073,24.944412,candidate_check_pipe_reno,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24280529
"Vilhonvuorenkuja 10 C, Sörnäinen, Helsinki",Sörnäinen,helsinki,146526.55,199000.0,52473.45,1,32.0,5/7,1929,kerrostalo,True,2019,"kanavien nuohous
2019 Liikehuoneisto LH 1 Ilmavaihtokoneen ja positohormin uusiminen
2022 Lukituksen uusinta (iloq), Kattotikkaiden asennus
2022-2023 Linjasaneeraus, saunaosasto, häkkivarastojen kunnostus, sähköjen uusiminen
2024 Katon maalauksen/pinnoituksen suunnittelu, Linjasaneerauksen 1. vuotistakuutarkastuk",True,1065.71,211.2,,51,118,,,60.187161,24.962457,pipe_reno_2019,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24697613
"Orioninkatu 8 A, Hermanni, Helsinki",Hermanni,helsinki,138069.59,139500.0,1430.41,1,29.8,1/4,1957,kerrostalo,True,2015,"äynnin lisäksi tästä asunnosta on myös erillinen käynti takapihalle, jossa on maantasopiha!

Hyvin hoidettu taloyhtiö. Siinä on tehty mm. perinteinen putkiremontti v. 2015 ja katto on uusittu v. 2010-2011. 

Rauhallinen alue, jossa kaupat, palvelut, liikenneyhteydet sekä harrastusmahdollisuudet ovat pienen kävel",True,769.71,216.05,,50,147,,,60.19494,24.96539,pipe_reno_2015,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24519716
"Mechelininkatu 15, Etu-Töölö, Helsinki",Etu-Töölö,helsinki,155400.46,185000.0,29599.54,1,24.2,5/7,1929,kerrostalo,False,,,True,880.52,96.8,,49,159,,,60.172364,24.920348,candidate_check_pipe_reno,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24489965
